,job_id,load_info_delay,placement_info_delay,req_inter_arrival_delay,workflow_type,scheduler_type,slowdown,response_time,num_activation_dags
294,294,0,0,5,1,decentralheft,85.76635090783215,2572.9905272349642,1836
295,295,0,0,5,0,decentralheft,3.712971223672016,67.94737339319789,1836
296,296,0,0,5,0,decentralheft,3.667750896463916,67.11984140528966,1836
297,297,0,0,5,0,decentralheft,4.684346499770947,85.72354094580834,1836
298,298,0,0,5,1,decentralheft,91.46608129911094,2743.982438973328,1836
299,299,0,0,5,3,decentralheft,36.852853299881765,1662.0636838246678,1836
300,300,0,0,5,3,decentralheft,36.945273089987474,1666.231816358435,1836
301,301,0,0,5,1,decentralheft,91.30768062917905,2739.2304188753715,1836
302,302,0,0,5,1,decentralheft,91.27765978181714,2738.329793454514,1836
303,303,0,0,5,2,decentralheft,70.95060054795239,815.9319063014525,1836
304,304,0,0,5,0,decentralheft,3.3478059191607175,61.264848320641136,1836
305,305,0,0,5,1,decentralheft,85.17350310406134,2555.20509312184,1836
306,306,0,0,5,3,decentralheft,24.902792875134395,1123.1159586685612,1836
307,307,0,0,5,0,decentralheft,3.281557988001846,60.05251118043378,1836
308,308,0,0,5,1,decentralheft,84.05156706927352,2521.5470120782056,1836
309,309,0,0,5,1,decentralheft,86.7829933418281,2603.489800254843,1836
310,310,0,0,5,1,decentralheft,87.44301227199125,2623.2903681597377,1836
311,311,0,0,5,1,decentralheft,84.71562760122133,2541.46882803664,1836
312,312,0,0,5,3,decentralheft,32.453043624193654,1463.6322674511339,1836
313,313,0,0,5,0,decentralheft,3.5574534005835377,65.10139723067874,1836
314,314,0,0,5,2,decentralheft,70.51487966437563,810.9211161403198,1836
315,315,0,0,5,0,decentralheft,3.6762285125490393,67.27498177964742,1836
316,316,0,0,5,0,decentralheft,4.117716915668943,75.35421955674167,1836
317,317,0,0,5,0,decentralheft,3.5217676141107304,64.44834733822637,1836
318,318,0,0,5,3,decentralheft,37.62157639806973,1696.7330955529446,1836
319,319,0,0,5,3,decentralheft,37.69782704422151,1700.1719996943903,1836
320,320,0,0,5,2,decentralheft,82.7146482798668,951.2184552184681,1836
321,321,0,0,5,2,decentralheft,88.21631053670998,1014.4875711721647,1836
322,322,0,0,5,2,decentralheft,88.16407613610194,1013.8868755651723,1836
323,323,0,0,5,3,decentralheft,29.398690250082804,1325.8809302787345,1836
324,324,0,0,5,2,decentralheft,88.67110194294746,1019.7176723438957,1836
325,325,0,0,5,3,decentralheft,29.969254567109022,1351.613380976617,1836
326,326,0,0,5,3,decentralheft,28.98158361939823,1307.06942123486,1836
327,327,0,0,5,0,decentralheft,3.3856078794126385,61.95662419325129,1836
328,328,0,0,5,0,decentralheft,3.349563972617159,61.297020698894016,1836
329,329,0,0,5,2,decentralheft,89.07143172572454,1024.3214648458322,1836
330,330,0,0,5,0,decentralheft,4.757855951118092,87.06876390546108,1836
331,331,0,0,5,2,decentralheft,99.57599627720336,1145.1239571878386,1836
332,332,0,0,5,2,decentralheft,99.51242560275628,1144.3928944316972,1836
333,333,0,0,5,3,decentralheft,29.727820669202597,1340.7247121810371,1836
334,334,0,0,5,2,decentralheft,81.95349150971525,942.4651523617254,1836
335,335,0,0,5,2,decentralheft,81.70352648239854,939.5905545475832,1836
336,336,0,0,5,0,decentralheft,3.2728874235608676,59.893839851163875,1836
337,337,0,0,5,3,decentralheft,25.48922635496924,1149.5641086091127,1836
338,338,0,0,5,1,decentralheft,88.77427692039966,2663.2283076119897,1836
339,339,0,0,5,2,decentralheft,81.51756882395284,937.4520414754577,1836
340,340,0,0,5,0,decentralheft,3.6282170051689278,66.39637119459138,1836
341,341,0,0,5,3,decentralheft,25.688441418018105,1158.5487079526165,1836
342,342,0,0,5,2,decentralheft,82.51890214037839,948.9673746143515,1836
343,343,0,0,5,3,decentralheft,38.522188469721236,1737.3506999844278,1836
344,344,0,0,5,1,decentralheft,92.96812819889405,2789.0438459668217,1836
345,345,0,0,5,1,decentralheft,87.73303291902029,2631.9909875706085,1836
346,346,0,0,5,2,decentralheft,72.05993303404702,828.6892298915408,1836
347,347,0,0,5,2,decentralheft,72.02597855362256,828.2987533666595,1836
348,348,0,0,5,2,decentralheft,71.96623141272387,827.6116612463245,1836
349,349,0,0,5,3,decentralheft,29.206605507923395,1317.2179084073452,1836
350,350,0,0,5,0,decentralheft,3.1593694249095887,57.816460475845474,1836
351,351,0,0,5,2,decentralheft,75.12687203704297,863.9590284259941,1836
352,352,0,0,5,1,decentralheft,87.58858834810177,2627.657650443053,1836
353,353,0,0,5,3,decentralheft,29.756041865897252,1341.997488151966,1836
354,354,0,0,5,1,decentralheft,87.46790614517059,2624.0371843551175,1836
355,355,0,0,5,3,decentralheft,30.686293693268286,1383.9518455663997,1836
356,356,0,0,5,0,decentralheft,3.385607879412648,61.95662419325146,1836
357,357,0,0,5,0,decentralheft,3.363498958281086,61.55203093654387,1836
358,358,0,0,5,3,decentralheft,30.75208658477259,1386.919104973244,1836
359,359,0,0,5,3,decentralheft,38.32035261690045,1728.2479030222103,1836
360,360,0,0,5,3,decentralheft,39.010172519504025,1759.3587806296316,1836
361,361,0,0,5,0,decentralheft,3.9251167549028696,71.82963661472252,1836
362,362,0,0,5,0,decentralheft,4.417785885917269,80.84548171228602,1836
363,363,0,0,5,2,decentralheft,88.46659171978538,1017.3658047775319,1836
364,364,0,0,5,1,decentralheft,87.33377344144303,2620.0132032432907,1836
365,365,0,0,5,3,decentralheft,38.27708411218558,1726.2964934595695,1836
366,366,0,0,5,2,decentralheft,88.15514072895301,1013.7841183829596,1836
367,367,0,0,5,0,decentralheft,4.128015135401933,75.54267697785536,1836
